timestamp,elapsed_s,cpu_percent,ram_percent,ram_used_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb
2026-07-31T20:01:02,628.8,23.8,48.5,15.43,36.0,1556.0,8192.0
2026-07-31T20:01:04,630.9,18.6,48.5,15.43,36.0,1551.0,8192.0
2026-07-31T20:01:06,632.9,19.4,48.4,15.43,37.0,1551.0,8192.0
2026-07-31T20:01:08,635.0,21.4,48.4,15.41,40.0,1555.0,8192.0
2026-07-31T20:01:10,637.0,24.5,48.4,15.41,24.0,1549.0,8192.0
2026-07-31T20:01:12,639.1,20.4,48.4,15.41,39.0,1549.0,8192.0
2026-07-31T20:01:14,641.2,18.1,48.4,15.42,43.0,1555.0,8192.0
2026-07-31T20:01:16,643.2,20.0,48.4,15.41,38.0,1555.0,8192.0
2026-07-31T20:01:18,645.3,21.9,48.4,15.4,34.0,1541.0,8192.0
2026-07-31T20:01:20,647.3,21.4,48.4,15.4,39.0,1541.0,8192.0
2026-07-31T20:01:22,649.4,18.9,48.4,15.4,35.0,1547.0,8192.0
2026-07-31T20:01:24,651.4,20.3,48.4,15.41,36.0,1541.0,8192.0
2026-07-31T20:01:27,653.5,20.6,48.4,15.4,16.0,1541.0,8192.0
2026-07-31T20:01:29,655.5,21.6,48.4,15.4,41.0,1546.0,8192.0
2026-07-31T20:01:31,657.6,22.2,48.3,15.39,32.0,1547.0,8192.0
2026-07-31T20:01:33,659.6,19.0,48.4,15.4,28.0,1541.0,8192.0
2026-07-31T20:01:35,661.7,23.3,48.4,15.4,32.0,1541.0,8192.0
2026-07-31T20:01:37,663.7,20.5,48.4,15.4,36.0,1547.0,8192.0
2026-07-31T20:01:39,665.8,17.1,48.4,15.4,28.0,1541.0,8192.0
2026-07-31T20:01:41,667.8,20.2,48.4,15.4,32.0,1549.0,8192.0
2026-07-31T20:01:43,669.9,23.3,48.4,15.4,38.0,1555.0,8192.0
2026-07-31T20:01:45,672.0,26.3,48.4,15.42,38.0,1549.0,8192.0
